id,host_id,host_name,neighbourhood_cleansed,city,latitude,longitude,price,number_of_reviews,review_scores_rating
6644330,5028116,Jason,Jamaica Plain,Boston,42.312146916024254,-71.10890828395574,120.0,5,100.0
6939162,16379445,Kelly,Jamaica Plain,Boston,42.31303259057599,-71.11202440937612,130.0,12,100.0
13640138,55958506,Noél,Jamaica Plain,Boston,42.321520836480815,-71.10741009190527,29.0,5,88.0
12593295,48876489,Rachel,Jamaica Plain,Boston,42.30450198413657,-71.11147205236121,68.0,9,91.0
10004575,3130698,Mariana,Jamaica Plain,Boston,42.31968702097964,-71.11296924688942,300.0,9,97.0
12855343,12164071,Cynthia,Jamaica Plain,Boston,42.3126182454674,-71.10620541691138,50.0,22,95.0
9791506,50464388,Edana,Jamaica Plain,Boston,42.312465870465495,-71.10751981004609,119.0,2,90.0
5801643,30099169,Scott,Jamaica Plain,Boston,42.29050283678629,-71.11642163691592,46.0,31,75.0
12888054,70542233,Christine,Jamaica Plain,Boston,42.316423406732014,-71.105027092965,295.0,0,
5676025,9240847,Jillian,Jamaica Plain,Boston,42.322747312138354,-71.11033370632222,130.0,19,79.0
6104388,1633163,Toyoko,Jamaica Plain,Boston,42.31277908835379,-71.10974082171326,180.0,7,100.0
8283433,1264857,Marie,Jamaica Plain,Boston,42.3110232774222,-71.11899338510045,300.0,0,
14573919,28975718,Thomas,Jamaica Plain,Boston,42.3035452888029,-71.10589216211305,200.0,0,
7495866,38015635,Dave,Jamaica Plain,Boston,42.31576895997632,-71.11289367391335,136.0,26,92.0
13623390,69873384,Jason,Jamaica Plain,Boston,42.30401959211494,-71.10493709465034,100.0,5,96.0
3629014,18190121,Andrea,Jamaica Plain,Boston,42.31779832815028,-71.10403440260586,88.0,48,100.0
10883063,24593919,Minor,Jamaica Plain,Boston,42.32411923510956,-71.10669945356153,95.0,15,93.0
713627,3581975,Rachel,Jamaica Plain,Boston,42.30957367789852,-71.10629240857683,135.0,1,80.0
4105704,21299112,Helen,Jamaica Plain,Boston,42.30236440084767,-71.11490982290198,135.0,104,98.0
